19080|15087944|9|1|1|505309|000000004.0200|
19080|15087944|9|1|1|200309|SHELL CENTRE LONDON SE1 7NA|
19080|15087944|9|1|1|505409|5|
19080|15087944|9|1|1|200409|3493471815186|
19080|15087944|9|1|1|505509|0|
19080|15087944|9|1|1|200509|GB|
19080|15087944|9|1|1|500309|0|
19080|15087944|9|2|1|505009|1|
19080|15087944|9|2|1|505109|000000005.2400|
19080|15087944|9|2|1|505209|000000009.2000|
19080|15087944|9|2|1|200209|SHELL SERVICIOS MEXICO SA DE CV|
19080|15087944|9|2|1|505309|000000011.5000|
19080|15087944|9|2|1|200309|AV PASEO DE LAS PALMAS 340 PISO 1 LOMAS DE CHAPULTEPEC|
19080|15087944|9|2|1|505409|13|
19080|15087944|9|2|1|200409|SSM981202K81|
19080|15087944|9|2|1|505509|730081118742|
19080|15087944|9|2|1|200509|MX|
19080|15087944|9|2|1|500309|O|
19080|15087944|9|2|1|200609|7|
19080|15087944|9|2|1|101709|X|
19080|15087944|9|2|1|200709|3|
19080|15087944|9|2|1|101809|SERVICIOS ESPECIALIZADOS|
19080|15087944|9|2|1|500109|MTU|
19080|15087944|9|2|1|102309|1|
19080|15087944|9|3|1|200209|SHELL TRADING SERVICES COMPANY|
19080|15087944|9|3|1|505309|000000008.5800|
19080|15087944|9|3|1|200309|1000 MAIN 12TH FLOOR 77002|
19080|15087944|9|3|1|505409|8|
19080|15087944|9|3|1|200409|76 0659593|
19080|15087944|9|3|1|505509|736173637389|
19080|15087944|9|3|1|200509|US|
19080|15087944|9|3|1|500309|O|
19080|15087944|9|3|1|200609|7|
19080|15087944|9|3|1|101709|X|
19080|15087944|9|3|1|200709|2|
19080|15087944|9|3|1|101809|SERVICIOS DE SOPORTE TECNICO|
19080|15087944|9|3|1|500109|MTU|
19080|15087944|9|3|1|102309|1|
19080|15087944|9|3|1|505009|1|
19080|15087944|9|3|1|505109|000000004.1600|
19080|15087944|9|3|1|505209|000000005.8400|
19080|15089148|9|1|1|200509|MX|
