19080|98031941|1|1|90001|1|
19080|98031941|1|1|90002|PDI|
19080|98031941|1|1|90003|M|
19080|98031941|1|1|90004|3|
19080|98031941|1|1|90005|2023|
19080|98031941|1|1|90007|1|
19080|98031941|1|1|90008|599|
19080|98031941|1|1|90009|50|
19080|98031941|1|1|90010|556297947|
19080|98031941|1|1|90011|875|
19080|98031941|1|1|90012|875|
19080|98031941|1|1|90013|875|
19080|98031941|1|1|90014|20231122|
19080|98031941|1|1|90016|10114|
19080|98033329|1|1|90001|1|
19080|98033329|1|1|90002|SAF|
19080|98033329|1|1|90003|Y|
19080|98033329|1|1|90004|35|
19080|98033329|1|1|90005|2022|
19080|98033329|1|1|90007|35|
19080|98033329|1|1|90008|155|
19080|98033329|1|1|90009|41|
19080|98033329|1|1|90010|230080223542|
19080|98033329|1|1|90011|456|
19080|98033329|1|1|90012|456|
19080|98033329|1|1|90013|467|
19080|98033329|1|1|90014|20230428|
19080|98033329|1|1|90016|13514|
19080|98033346|1|1|90001|1|
19080|98033346|1|1|90002|SAF|
19080|98033346|1|1|90003|Y|
19080|98033346|1|1|90004|35|
19080|98033346|1|1|90005|2021|
19080|98033346|1|1|90007|35|
19080|98033346|1|1|90008|74|
19080|98033346|1|1|90009|41|
19080|98033346|1|1|90010|220001117805|
19080|98033346|1|1|90011|30028|
19080|98033346|1|1|90012|26776|
19080|98033346|1|1|90013|26776|
19080|98033346|1|1|90014|20220518|
19080|98033346|1|1|90016|13514|
19080|98033918|1|1|90001|1|
19080|98033918|1|1|90002|SAF|
19080|98033918|1|1|90003|Y|
19080|98033918|1|1|90004|35|
19080|98033918|1|1|90005|2022|
19080|98033918|1|1|90007|1|
19080|98033918|1|1|90008|6765|
19080|98033918|1|1|90009|41|
19080|98033918|1|1|90010|230130091581|
19080|98033918|1|1|90011|67023|
19080|98033918|1|1|90012|48678|
19080|98033918|1|1|90013|48678|
19080|98033918|1|1|90014|20230330|
19080|98033918|1|1|90016|10114|
19080|98034006|1|1|90001|1|
19080|98034006|1|1|90002|SAF|
19080|98034006|1|1|90003|Y|
19080|98034006|1|1|90004|35|
19080|98034006|1|1|90005|2019|
19080|98034006|1|1|90007|35|
19080|98034006|1|1|90008|20603|
19080|98034006|1|1|90009|41|
19080|98034006|1|1|90010|200260071277|
19080|98034006|1|1|90011|175214|
19080|98034006|1|1|90012|154381|
19080|98034006|1|1|90013|154381|
19080|98034006|1|1|90014|20200630|
19080|98034006|1|1|90016|13514|
19080|98034104|1|1|90001|1|
19080|98034104|1|1|90002|SAF|
19080|98034104|1|1|90003|Y|
19080|98034104|1|1|90004|35|
19080|98034104|1|1|90005|2021|
