19080|98040897|1|11023|10/20/2023|11015|33953.0|
19080|98041027|1|11023|07/31/2023|11015|6003614.0|
19080|98041301|1|10123|12/22/2023|10115|244164.0|
19080|98041372|1|10123|02/20/2023|10115|60347.0|
19080|98041380|1|112923|12/20/2023|112915|7491.0|
19080|98041454|1|11023|10/10/2023|11015|35592.0|
19080|98041459|1|10123|10/23/2023|10115|90019.0|
19080|98041677|1|11023|07/11/2023|11015|1156.0|
19080|98042012|1|11023|06/26/2023|71042|117.0|
19080|98042058|1|12123|12/18/2023|12115|13127.0|
19080|98042603|1|11123|03/23/2019|11115|5815.0|
19080|98042652|1|11123|11/09/2023|11115|1201.0|
19080|98042813|1|12123|12/13/2023|12115|7482.0|
19080|98042814|1|11023|04/18/2019|11015|2258.0|
19080|98042929|1|10123|06/20/2023|10115|2391.0|
19080|98042979|1|10123|07/19/2023|70142|4697.0|
19080|98042991|1|10123|11/28/2023|10115|14603.0|
19080|98043242|1|18523|05/08/2023|18515|74.0|
19080|98043286|1|18523|03/07/2023|18515|79.0|
19080|98043347|1|18523|12/05/2023|18515|10.0|
19080|98043615|1|11023|10/04/2023|11015|3102.0|
19080|98043642|1|19223|11/11/2023|19215|1606.0|
19080|98043751|2|18523|03/06/2023|18515|2032.0|
19080|98043758|2|18523|05/08/2023|18515|1087.0|
19080|98043768|2|18523|07/10/2023|18515|11067.0|
19080|98044054|1|112623|09/18/2023|712642|716.0|
19080|98044384|1|11023|09/19/2023|11015|259564.0|
19080|98044442|1|11023|04/24/2023|11015|834065.0|
19080|98044806|1|11023|07/17/2023|11015|1367.0|
19080|98044892|1|10123|07/18/2023|10115|89573.0|
19080|98045101|1|112823|03/09/2023|112815|1808.0|
19080|98045122|1|112823|10/02/2023|712842|115.0|
19080|98045226|1|11023|12/29/2023|11015|121.0|
19080|98045295|1|10123|12/19/2023|10115|11510.0|
19080|98045317|1|11023|12/29/2023|11015|121.0|
19080|98045328|1|10123|12/19/2023|10115|18462.0|
19080|98045399|1|10123|09/27/2023|70142|32510.0|
19080|98045410|1|11023|07/17/2023|11015|1367.0|
19080|98045434|1|11123|06/19/2023|11115|3599.0|
19080|98045450|1|10123|06/26/2023|10115|111983.0|
19080|98045450|2|11023|06/26/2023|11015|105622.0|
19080|98045671|1|11023|03/21/2023|11015|51759.0|
19080|98045740|2|112923|10/17/2023|712942|304.0|
19080|98045744|1|10123|10/31/2023|70142|26585.0|
19080|98045764|1|112823|05/23/2023|112815|335.0|
19080|98045916|1|112923|06/10/2023|112915|22174.0|
19080|98045962|1|11023|06/19/2023|11015|1483104.0|
